connections	established	rss_kib	cpu_pct	server_fds	sys_openfiles	net_bytes	clusters	backend
40000	32068	17808	0.3	32073	64218	1424K	0/762/762/125768	default
50000	32122	17804	0.2	32128	64367	1424K	0/762/762/125768	default
60000	32107	17372	0.2	32109	64290	1424K	0/762/762/125768	default
70000	32034	17788	0.0	32038	64148	1424K	0/762/762/125768	default
