connections	established	rss_kib	cpu_pct	server_fds	sys_openfiles	net_bytes	clusters	backend
5000	5001	5036	0.1	5007	10086	1424K	0/762/762/125768	poll
10000	10001	6212	0.6	10007	20086	1424K	0/762/762/125768	poll
20000	20001	8612	1.0	20007	40086	1424K	0/762/762/125768	poll
30000	30003	11308	2.5	30007	60086	1424K	0/762/762/125768	poll
