connections	established	rss_kib	cpu_pct	server_fds	sys_openfiles	net_bytes	clusters	backend
5000	5000	5980	0.0	5008	10087	1424K	0/762/762/125768	default
10000	10001	7392	0.0	10008	20087	1424K	0/762/762/125768	default
20000	20001	11900	0.0	20008	40087	1424K	0/762/762/125768	default
30000	30005	17048	0.2	30008	60087	1424K	0/762/762/125768	default
